Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,sy (GPa),md,T (C)
0,221.638155,10000.61621,212.702699,1332622.658,258.777954,256.900811,163.250392,7.504462,35.515948,193.089586,1.357198,-86.404249,-23.72997,1.519944,149.3386466,195799.5435,0.727383906,0.83,0.151998,250
1,159.431568,10000.922,155.944219,748411.9348,208.865644,207.530122,159.710605,13.362857,16.835593,116.690731,1.416457,-86.394249,-23.72997,-0.337613,229.2482459,151059.8368,0.523974028,0.83,0.067462,250
2,168.780299,10000.84121,176.215662,825606.3315,211.612432,211.345363,171.827562,12.113329,38.887618,138.012139,1.292138,-86.384249,-23.72997,-1.091362,223.3336557,194584.6856,0.626159033,0.83,5.720399,250
3,299.522782,10000.41779,209.680164,2302545.452,335.453809,335.293039,122.430062,4.343201,0.536832,233.791284,2.128202,-86.374249,-23.72997,-1.371977,88.86949021,210508.5233,0.641724823,0.83,11.289206,250
4,193.793451,10000.71887,174.825848,1050507.718,237.066504,236.69637,151.126577,9.519891,40.908509,163.438463,1.280646,-86.364248,-23.72997,-1.336256,177.9470647,174628.2505,0.601072386,0.83,11.265038,250
5,234.021504,10000.9251,227.288146,1468937.4,267.466457,267.022318,166.153682,6.808272,17.984398,200.712131,1.507013,-86.404249,-23.71997,-1.236198,139.7981824,215423.5776,0.754704635,0.83,0.13845,250
6,234.075738,10000.79777,209.347944,1469549.174,270.13906,269.904121,153.007059,6.805351,46.682418,207.805039,1.299928,-86.394249,-23.71997,-1.141737,137.0439528,231240.6941,0.745348011,0.83,0.157343,250
7,335.102672,10000.88255,210.898232,2835653.506,371.012856,370.667986,110.963766,3.526835,52.531545,310.030724,1.278716,-86.384249,-23.71997,-0.867413,72.65414723,216679.0471,0.740200688,0.83,6.477469,250
8,255.10536,10000.62604,185.577777,1716518.592,296.194613,295.522212,125.497924,5.82611,21.894062,219.355021,1.413405,-86.374249,-23.71997,-0.647944,113.9916071,205085.9064,0.596196749,0.83,0.283647,250
10,361.066595,10000.58782,220.419004,3260751.168,396.429184,395.0947,108.149629,3.066958,20.941657,328.447903,1.468936,-86.404249,-23.70997,-0.471094,63.63474248,202285.5342,0.749021816,0.83,6.716977,250